model,dataset,accuracy,f1_macro,coverage,bilateral_distribution,policy,distribution,total
gemini-2.5-flash,simpleqa,0.6947791164658634,0.5337487133439915,0.747,"{'<f,t>': 707, '<t,t>': 245, '<t,f>': 40, '<f,f>': 8}",classical,,
gpt-4.1-2025-04-14,mmlupro,0.7793017456359103,0.7685312461783049,0.802,"{'<t,t>': 176, '<t,f>': 258, '<f,t>': 544, '<f,f>': 22}",classical,,
llama-4-scout,truthfulqa,0.7587719298245614,0.7577232944995074,0.684,"{'<f,t>': 379, '<t,f>': 305, '<f,f>': 258, '<t,t>': 52, '<f,e>': 2, '<t,e>': 2, '<e,e>': 1, '<e,t>': 1}",classical,,
claude-opus-4-1-20250805,mmlupro,0.8979591836734694,0.8960347022490452,0.147,"{'<e,e>': 802, '<t,f>': 58, '<f,t>': 89, '<e,t>': 32, '<f,f>': 5, '<t,t>': 6, '<f,e>': 4, '<e,f>': 4}",classical,,
gpt-4.1-mini-2025-04-14,factscore,0.6211340206185567,0.5706898498362877,0.388,"{'<f,f>': 569, '<t,f>': 310, '<t,t>': 43, '<f,t>': 78}",classical,,
gpt-4.1-2025-04-14,truthfulqa,0.8658854166666666,0.8624715959964045,0.768,"{'<f,t>': 479, '<t,f>': 289, '<f,f>': 196, '<t,t>': 36}",classical,,
gpt-4.1-mini-2025-04-14,truthfulqa,0.8658536585365854,0.8653530377668308,0.738,"{'<f,t>': 405, '<t,f>': 333, '<f,f>': 184, '<t,t>': 78}",classical,,
claude-opus-4-1-20250805,truthfulqa,0.8980716253443526,0.896551724137931,0.726,"{'<f,t>': 424, '<t,f>': 302, '<f,f>': 201, '<f,e>': 16, '<e,t>': 11, '<t,t>': 21, '<e,f>': 7, '<t,e>': 4, '<e,e>': 14}",classical,,
llama-4-maverick,mmlupro,0.8559782608695652,0.8513403303378837,0.368,"{'<e,e>': 214, '<t,f>': 226, '<e,t>': 243, '<f,t>': 142, '<t,e>': 44, '<t,t>': 72, '<f,e>': 22, '<f,f>': 30, '<e,f>': 7}",classical,,
llama-4-scout,mmlupro,0.7494780793319415,0.7466055369423382,0.479,"{'<e,e>': 226, '<t,f>': 281, '<e,t>': 9, '<f,t>': 198, '<t,e>': 95, '<f,f>': 133, '<f,e>': 19, '<e,f>': 5, '<t,t>': 34}",classical,,
gemini-2.5-flash,truthfulqa,0.8211382113821138,0.8087257019438445,0.738,,classical,"{'<f,t>': 512, '<t,f>': 226, '<t,t>': 72, '<f,f>': 190}",1000.0
gemini-2.5-flash,factscore,0.6145833333333334,0.6013356154774264,0.384,,classical,"{'<f,f>': 557, '<t,f>': 241, '<t,t>': 59, '<f,t>': 143}",1000.0
claude-3-5-haiku-20241022,simpleqa,0.8336079077429983,0.7947903452015543,0.607,,classical,"{'<f,f>': 363, '<t,f>': 130, '<f,t>': 477, '<t,t>': 30}",1000.0
claude-opus-4-1-20250805,simpleqa,0.9551569506726457,0.9429959100204499,0.446,,classical,"{'<e,e>': 347, '<t,f>': 111, '<f,t>': 335, '<e,f>': 22, '<e,t>': 108, '<f,e>': 29, '<f,f>': 15, '<t,e>': 11, '<t,t>': 22}",1000.0
llama-4-maverick,simpleqa,0.8822314049586777,0.842540537763902,0.484,,classical,"{'<e,t>': 173, '<f,t>': 385, '<t,f>': 99, '<e,e>': 66, '<f,f>': 115, '<f,e>': 61, '<e,f>': 30, '<t,t>': 54, '<t,e>': 17}",1000.0
llama-4-scout,simpleqa,0.9,0.8976203119540185,0.61,,classical,"{'<f,f>': 375, '<f,t>': 356, '<t,f>': 254, '<t,t>': 13, '<f,e>': 2}",1000.0
claude-3-5-haiku-20241022,factscore,0.6240875912408759,0.5470492882019676,0.274,,classical,"{'<f,f>': 712, '<t,f>': 227, '<f,t>': 47, '<t,t>': 14}",1000.0
llama-4-maverick,truthfulqa,0.8117839607201309,0.8079797772767644,0.611,,classical,"{'<f,t>': 361, '<f,f>': 207, '<t,f>': 250, '<e,e>': 68, '<t,t>': 64, '<f,e>': 24, '<e,f>': 5, '<t,e>': 14, '<e,t>': 7}",1000.0
gpt-4.1-mini-2025-04-14,simpleqa,0.8199737187910644,0.8018760178708184,0.761,,classical,"{'<f,f>': 61, '<t,t>': 178, '<f,t>': 548, '<t,f>': 213}",1000.0
llama-4-scout,factscore,0.6121794871794872,0.4218948593479626,0.312,,classical,"{'<f,f>': 665, '<t,f>': 300, '<t,t>': 7, '<f,t>': 12, '<f,e>': 7, '<e,e>': 6, '<t,e>': 2, '<e,f>': 1}",1000.0
gpt-4.1-2025-04-14,simpleqa,0.8327402135231317,0.8216740254654946,0.843,,classical,"{'<f,t>': 588, '<t,f>': 255, '<t,t>': 109, '<f,f>': 48}",1000.0
llama-4-maverick,factscore,0.6330275229357798,0.494902687673772,0.218,,classical,"{'<f,e>': 53, '<e,e>': 384, '<f,f>': 172, '<t,f>': 201, '<e,f>': 123, '<e,t>': 14, '<t,e>': 28, '<f,t>': 17, '<t,t>': 8}",1000.0
claude-opus-4-1-20250805,factscore,0.6451612903225806,0.5163120567375886,0.248,,classical,"{'<f,e>': 110, '<f,f>': 471, '<t,f>': 219, '<f,t>': 29, '<e,e>': 126, '<e,t>': 6, '<t,e>': 12, '<e,f>': 16, '<t,t>': 11}",1000.0
gemini-2.5-flash,mmlupro,0.7433290978398983,0.7088004278952537,0.787,,classical,"{'<f,t>': 622, '<t,f>': 165, '<t,t>': 201, '<f,f>': 12}",1000.0
gpt-4.1-2025-04-14,factscore,0.6590330788804071,0.6294748395812226,0.393,,classical,"{'<f,f>': 594, '<t,f>': 288, '<f,t>': 105, '<t,t>': 13}",1000.0
gpt-4.1-mini-2025-04-14,mmlupro,0.7800546448087432,0.7792930380635797,0.732,,classical,"{'<f,t>': 394, '<t,f>': 338, '<f,f>': 31, '<t,t>': 237}",1000.0
claude-3-5-haiku-20241022,truthfulqa,0.7664756446991404,0.7620681794892707,0.698,,classical,"{'<f,t>': 433, '<t,f>': 265, '<t,t>': 31, '<f,f>': 271}",1000.0
claude-3-5-haiku-20241022,mmlupro,0.6952380952380952,0.687314827476184,0.735,,classical,"{'<t,f>': 477, '<f,f>': 180, '<f,t>': 258, '<t,t>': 85}",1000.0
gemini-2.5-flash,simpleqa,0.6947791164658634,0.5337487133439915,0.747,,classical,"{'<f,t>': 707, '<t,t>': 245, '<t,f>': 40, '<f,f>': 8}",1000.0
gpt-4.1-2025-04-14,mmlupro,0.7793017456359103,0.7685312461783049,0.802,,classical,"{'<t,t>': 176, '<t,f>': 258, '<f,t>': 544, '<f,f>': 22}",1000.0
llama-4-scout,truthfulqa,0.7587719298245614,0.7577232944995074,0.684,,classical,"{'<f,t>': 379, '<t,f>': 305, '<f,f>': 258, '<t,t>': 52, '<f,e>': 2, '<t,e>': 2, '<e,e>': 1, '<e,t>': 1}",1000.0
claude-opus-4-1-20250805,mmlupro,0.8979591836734694,0.8960347022490452,0.147,,classical,"{'<e,e>': 802, '<t,f>': 58, '<f,t>': 89, '<e,t>': 32, '<f,f>': 5, '<t,t>': 6, '<f,e>': 4, '<e,f>': 4}",1000.0
gpt-4.1-mini-2025-04-14,factscore,0.6211340206185567,0.5706898498362877,0.388,,classical,"{'<f,f>': 569, '<t,f>': 310, '<t,t>': 43, '<f,t>': 78}",1000.0
gpt-4.1-2025-04-14,truthfulqa,0.8658854166666666,0.8624715959964045,0.768,,classical,"{'<f,t>': 479, '<t,f>': 289, '<f,f>': 196, '<t,t>': 36}",1000.0
gpt-4.1-mini-2025-04-14,truthfulqa,0.8658536585365854,0.8653530377668308,0.738,,classical,"{'<f,t>': 405, '<t,f>': 333, '<f,f>': 184, '<t,t>': 78}",1000.0
claude-opus-4-1-20250805,truthfulqa,0.8980716253443526,0.896551724137931,0.726,,classical,"{'<f,t>': 424, '<t,f>': 302, '<f,f>': 201, '<f,e>': 16, '<e,t>': 11, '<t,t>': 21, '<e,f>': 7, '<t,e>': 4, '<e,e>': 14}",1000.0
llama-4-maverick,mmlupro,0.8559782608695652,0.8513403303378837,0.368,,classical,"{'<e,e>': 214, '<t,f>': 226, '<e,t>': 243, '<f,t>': 142, '<t,e>': 44, '<t,t>': 72, '<f,e>': 22, '<f,f>': 30, '<e,f>': 7}",1000.0
llama-4-scout,mmlupro,0.7494780793319415,0.7466055369423382,0.479,,classical,"{'<e,e>': 226, '<t,f>': 281, '<e,t>': 9, '<f,t>': 198, '<t,e>': 95, '<f,f>': 133, '<f,e>': 19, '<e,f>': 5, '<t,t>': 34}",1000.0
gemini-2.5-flash,truthfulqa,0.8211382113821138,0.7682894168466523,0.81,,paracomplete,"{'<f,t>': 512, '<t,f>': 226, '<t,t>': 72, '<f,f>': 190}",1000.0
gemini-2.5-flash,factscore,0.6145833333333334,0.571268834703555,0.443,,paracomplete,"{'<f,f>': 557, '<t,f>': 241, '<t,t>': 59, '<f,t>': 143}",1000.0
claude-3-5-haiku-20241022,simpleqa,0.8336079077429983,0.7550508279414766,0.637,,paracomplete,"{'<f,f>': 363, '<t,f>': 130, '<f,t>': 477, '<t,t>': 30}",1000.0
claude-opus-4-1-20250805,simpleqa,0.9551569506726457,0.8958461145194274,0.468,,paracomplete,"{'<e,e>': 347, '<t,f>': 111, '<f,t>': 335, '<e,f>': 22, '<e,t>': 108, '<f,e>': 29, '<f,f>': 15, '<t,e>': 11, '<t,t>': 22}",1000.0
llama-4-maverick,simpleqa,0.8822314049586777,0.8004135108757069,0.538,,paracomplete,"{'<e,t>': 173, '<f,t>': 385, '<t,f>': 99, '<e,e>': 66, '<f,f>': 115, '<f,e>': 61, '<e,f>': 30, '<t,t>': 54, '<t,e>': 17}",1000.0
llama-4-scout,simpleqa,0.9,0.8527392963563175,0.623,,paracomplete,"{'<f,f>': 375, '<f,t>': 356, '<t,f>': 254, '<t,t>': 13, '<f,e>': 2}",1000.0
claude-3-5-haiku-20241022,factscore,0.6240875912408759,0.5196968237918692,0.288,,paracomplete,"{'<f,f>': 712, '<t,f>': 227, '<f,t>': 47, '<t,t>': 14}",1000.0
llama-4-maverick,truthfulqa,0.8117839607201309,0.7675807884129261,0.675,,paracomplete,"{'<f,t>': 361, '<f,f>': 207, '<t,f>': 250, '<e,e>': 68, '<t,t>': 64, '<f,e>': 24, '<e,f>': 5, '<t,e>': 14, '<e,t>': 7}",1000.0
gpt-4.1-mini-2025-04-14,simpleqa,0.8199737187910644,0.7617822169772774,0.939,,paracomplete,"{'<f,f>': 61, '<t,t>': 178, '<f,t>': 548, '<t,f>': 213}",1000.0
llama-4-scout,factscore,0.6121794871794872,0.40080011638056445,0.319,,paracomplete,"{'<f,f>': 665, '<t,f>': 300, '<t,t>': 7, '<f,t>': 12, '<f,e>': 7, '<e,e>': 6, '<t,e>': 2, '<e,f>': 1}",1000.0
gpt-4.1-2025-04-14,simpleqa,0.8327402135231317,0.7805903241922199,0.952,,paracomplete,"{'<f,t>': 588, '<t,f>': 255, '<t,t>': 109, '<f,f>': 48}",1000.0
llama-4-maverick,factscore,0.6330275229357798,0.47015755329008335,0.226,,paracomplete,"{'<f,e>': 53, '<e,e>': 384, '<f,f>': 172, '<t,f>': 201, '<e,f>': 123, '<e,t>': 14, '<t,e>': 28, '<f,t>': 17, '<t,t>': 8}",1000.0
claude-opus-4-1-20250805,factscore,0.6451612903225806,0.4904964539007092,0.259,,paracomplete,"{'<f,e>': 110, '<f,f>': 471, '<t,f>': 219, '<f,t>': 29, '<e,e>': 126, '<e,t>': 6, '<t,e>': 12, '<e,f>': 16, '<t,t>': 11}",1000.0
gemini-2.5-flash,mmlupro,0.7433290978398983,0.6733604065004909,0.988,,paracomplete,"{'<f,t>': 622, '<t,f>': 165, '<t,t>': 201, '<f,f>': 12}",1000.0
gpt-4.1-2025-04-14,factscore,0.6590330788804071,0.5980010976021615,0.406,,paracomplete,"{'<f,f>': 594, '<t,f>': 288, '<f,t>': 105, '<t,t>': 13}",1000.0
gpt-4.1-mini-2025-04-14,mmlupro,0.7800546448087432,0.7403283861604008,0.969,,paracomplete,"{'<f,t>': 394, '<t,f>': 338, '<f,f>': 31, '<t,t>': 237}",1000.0
claude-3-5-haiku-20241022,truthfulqa,0.7664756446991404,0.7239647705148071,0.729,,paracomplete,"{'<f,t>': 433, '<t,f>': 265, '<t,t>': 31, '<f,f>': 271}",1000.0
claude-3-5-haiku-20241022,mmlupro,0.6952380952380952,0.6529490861023748,0.82,,paracomplete,"{'<t,f>': 477, '<f,f>': 180, '<f,t>': 258, '<t,t>': 85}",1000.0
gemini-2.5-flash,simpleqa,0.6947791164658634,0.507061277676792,0.992,,paracomplete,"{'<f,t>': 707, '<t,t>': 245, '<t,f>': 40, '<f,f>': 8}",1000.0
gpt-4.1-2025-04-14,mmlupro,0.7793017456359103,0.7301046838693896,0.978,,paracomplete,"{'<t,t>': 176, '<t,f>': 258, '<f,t>': 544, '<f,f>': 22}",1000.0
llama-4-scout,truthfulqa,0.7587719298245614,0.719837129774532,0.736,,paracomplete,"{'<f,t>': 379, '<t,f>': 305, '<f,f>': 258, '<t,t>': 52, '<f,e>': 2, '<t,e>': 2, '<e,e>': 1, '<e,t>': 1}",1000.0
claude-opus-4-1-20250805,mmlupro,0.8979591836734694,0.8512329671365929,0.153,,paracomplete,"{'<e,e>': 802, '<t,f>': 58, '<f,t>': 89, '<e,t>': 32, '<f,f>': 5, '<t,t>': 6, '<f,e>': 4, '<e,f>': 4}",1000.0
gpt-4.1-mini-2025-04-14,factscore,0.6211340206185567,0.5421553573444733,0.431,,paracomplete,"{'<f,f>': 569, '<t,f>': 310, '<t,t>': 43, '<f,t>': 78}",1000.0
gpt-4.1-2025-04-14,truthfulqa,0.8658854166666666,0.8193480161965843,0.804,,paracomplete,"{'<f,t>': 479, '<t,f>': 289, '<f,f>': 196, '<t,t>': 36}",1000.0
gpt-4.1-mini-2025-04-14,truthfulqa,0.8658536585365854,0.8220853858784892,0.816,,paracomplete,"{'<f,t>': 405, '<t,f>': 333, '<f,f>': 184, '<t,t>': 78}",1000.0
claude-opus-4-1-20250805,truthfulqa,0.8980716253443526,0.8517241379310344,0.747,,paracomplete,"{'<f,t>': 424, '<t,f>': 302, '<f,f>': 201, '<f,e>': 16, '<e,t>': 11, '<t,t>': 21, '<e,f>': 7, '<t,e>': 4, '<e,e>': 14}",1000.0
llama-4-maverick,mmlupro,0.8559782608695652,0.8087733138209895,0.44,,paracomplete,"{'<e,e>': 214, '<t,f>': 226, '<e,t>': 243, '<f,t>': 142, '<t,e>': 44, '<t,t>': 72, '<f,e>': 22, '<f,f>': 30, '<e,f>': 7}",1000.0
llama-4-scout,mmlupro,0.7494780793319415,0.7092752600952212,0.513,,paracomplete,"{'<e,e>': 226, '<t,f>': 281, '<e,t>': 9, '<f,t>': 198, '<t,e>': 95, '<f,f>': 133, '<f,e>': 19, '<e,f>': 5, '<t,t>': 34}",1000.0
gemini-2.5-flash,truthfulqa,0.8211382113821138,0.744027645788337,0.928,,paraconsistent,"{'<f,t>': 512, '<t,f>': 226, '<t,t>': 72, '<f,f>': 190}",1000.0
gemini-2.5-flash,factscore,0.6145833333333334,0.5532287662392323,0.941,,paraconsistent,"{'<f,f>': 557, '<t,f>': 241, '<t,t>': 59, '<f,t>': 143}",1000.0
claude-3-5-haiku-20241022,simpleqa,0.8336079077429983,0.73120711758543,0.97,,paraconsistent,"{'<f,f>': 363, '<t,f>': 130, '<f,t>': 477, '<t,t>': 30}",1000.0
claude-opus-4-1-20250805,simpleqa,0.9551569506726457,0.8675562372188139,0.461,,paraconsistent,"{'<e,e>': 347, '<t,f>': 111, '<f,t>': 335, '<e,f>': 22, '<e,t>': 108, '<f,e>': 29, '<f,f>': 15, '<t,e>': 11, '<t,t>': 22}",1000.0
llama-4-maverick,simpleqa,0.8822314049586777,0.7751372947427899,0.599,,paraconsistent,"{'<e,t>': 173, '<f,t>': 385, '<t,f>': 99, '<e,e>': 66, '<f,f>': 115, '<f,e>': 61, '<e,f>': 30, '<t,t>': 54, '<t,e>': 17}",1000.0
llama-4-scout,simpleqa,0.9,0.825810686997697,0.985,,paraconsistent,"{'<f,f>': 375, '<f,t>': 356, '<t,f>': 254, '<t,t>': 13, '<f,e>': 2}",1000.0
claude-3-5-haiku-20241022,factscore,0.6240875912408759,0.5032853451458102,0.986,,paraconsistent,"{'<f,f>': 712, '<t,f>': 227, '<f,t>': 47, '<t,t>': 14}",1000.0
llama-4-maverick,truthfulqa,0.8117839607201309,0.7433413950946233,0.818,,paraconsistent,"{'<f,t>': 361, '<f,f>': 207, '<t,f>': 250, '<e,e>': 68, '<t,t>': 64, '<f,e>': 24, '<e,f>': 5, '<t,e>': 14, '<e,t>': 7}",1000.0
gpt-4.1-mini-2025-04-14,simpleqa,0.8199737187910644,0.7377259364411529,0.822,,paraconsistent,"{'<f,f>': 61, '<t,t>': 178, '<f,t>': 548, '<t,f>': 213}",1000.0
llama-4-scout,factscore,0.6121794871794872,0.3881432706001256,0.977,,paraconsistent,"{'<f,f>': 665, '<t,f>': 300, '<t,t>': 7, '<f,t>': 12, '<f,e>': 7, '<e,e>': 6, '<t,e>': 2, '<e,f>': 1}",1000.0
gpt-4.1-2025-04-14,simpleqa,0.8327402135231317,0.7559401034282551,0.891,,paraconsistent,"{'<f,t>': 588, '<t,f>': 255, '<t,t>': 109, '<f,f>': 48}",1000.0
llama-4-maverick,factscore,0.6330275229357798,0.45531047265987024,0.39,,paraconsistent,"{'<f,e>': 53, '<e,e>': 384, '<f,f>': 172, '<t,f>': 201, '<e,f>': 123, '<e,t>': 14, '<t,e>': 28, '<f,t>': 17, '<t,t>': 8}",1000.0
claude-opus-4-1-20250805,factscore,0.6451612903225806,0.47500709219858156,0.719,,paraconsistent,"{'<f,e>': 110, '<f,f>': 471, '<t,f>': 219, '<f,t>': 29, '<e,e>': 126, '<e,t>': 6, '<t,e>': 12, '<e,f>': 16, '<t,t>': 11}",1000.0
gemini-2.5-flash,mmlupro,0.7433290978398983,0.6520963936636334,0.799,,paraconsistent,"{'<f,t>': 622, '<t,f>': 165, '<t,t>': 201, '<f,f>': 12}",1000.0
gpt-4.1-2025-04-14,factscore,0.6590330788804071,0.5791168524147249,0.987,,paraconsistent,"{'<f,f>': 594, '<t,f>': 288, '<f,t>': 105, '<t,t>': 13}",1000.0
gpt-4.1-mini-2025-04-14,mmlupro,0.7800546448087432,0.7169495950184934,0.763,,paraconsistent,"{'<f,t>': 394, '<t,f>': 338, '<f,f>': 31, '<t,t>': 237}",1000.0
claude-3-5-haiku-20241022,truthfulqa,0.7664756446991404,0.7011027251301292,0.969,,paraconsistent,"{'<f,t>': 433, '<t,f>': 265, '<t,t>': 31, '<f,f>': 271}",1000.0
claude-3-5-haiku-20241022,mmlupro,0.6952380952380952,0.6323296412780893,0.915,,paraconsistent,"{'<t,f>': 477, '<f,f>': 180, '<f,t>': 258, '<t,t>': 85}",1000.0
gemini-2.5-flash,simpleqa,0.6947791164658634,0.49104881627647223,0.755,,paraconsistent,"{'<f,t>': 707, '<t,t>': 245, '<t,f>': 40, '<f,f>': 8}",1000.0
gpt-4.1-2025-04-14,mmlupro,0.7793017456359103,0.7070487464840406,0.824,,paraconsistent,"{'<t,t>': 176, '<t,f>': 258, '<f,t>': 544, '<f,f>': 22}",1000.0
llama-4-scout,truthfulqa,0.7587719298245614,0.6971054309395468,0.942,,paraconsistent,"{'<f,t>': 379, '<t,f>': 305, '<f,f>': 258, '<t,t>': 52, '<f,e>': 2, '<t,e>': 2, '<e,e>': 1, '<e,t>': 1}",1000.0
claude-opus-4-1-20250805,mmlupro,0.8979591836734694,0.8243519260691217,0.152,,paraconsistent,"{'<e,e>': 802, '<t,f>': 58, '<f,t>': 89, '<e,t>': 32, '<f,f>': 5, '<t,t>': 6, '<f,e>': 4, '<e,f>': 4}",1000.0
gpt-4.1-mini-2025-04-14,factscore,0.6211340206185567,0.5250346618493846,0.957,,paraconsistent,"{'<f,f>': 569, '<t,f>': 310, '<t,t>': 43, '<f,t>': 78}",1000.0
gpt-4.1-2025-04-14,truthfulqa,0.8658854166666666,0.7934738683166922,0.964,,paraconsistent,"{'<f,t>': 479, '<t,f>': 289, '<f,f>': 196, '<t,t>': 36}",1000.0
gpt-4.1-mini-2025-04-14,truthfulqa,0.8658536585365854,0.7961247947454844,0.922,,paraconsistent,"{'<f,t>': 405, '<t,f>': 333, '<f,f>': 184, '<t,t>': 78}",1000.0
claude-opus-4-1-20250805,truthfulqa,0.8980716253443526,0.8248275862068966,0.927,,paraconsistent,"{'<f,t>': 424, '<t,f>': 302, '<f,f>': 201, '<f,e>': 16, '<e,t>': 11, '<t,t>': 21, '<e,f>': 7, '<t,e>': 4, '<e,e>': 14}",1000.0
llama-4-maverick,mmlupro,0.8559782608695652,0.783233103910853,0.398,,paraconsistent,"{'<e,e>': 214, '<t,f>': 226, '<e,t>': 243, '<f,t>': 142, '<t,e>': 44, '<t,t>': 72, '<f,e>': 22, '<f,f>': 30, '<e,f>': 7}",1000.0
llama-4-scout,mmlupro,0.7494780793319415,0.6868770939869512,0.612,,paraconsistent,"{'<e,e>': 226, '<t,f>': 281, '<e,t>': 9, '<f,t>': 198, '<t,e>': 95, '<f,f>': 133, '<f,e>': 19, '<e,f>': 5, '<t,t>': 34}",1000.0
