model,dataset,method,f1_score,se,ci_lower,ci_upper,coverage,n_samples
gemini-2.5-flash,simpleqa,bilateral_classical,0.5337487133439915,0.0119994165256,0.5102298569538155,0.5572675697341676,0.747,1000
gpt-4.1-2025-04-14,mmlupro,bilateral_classical,0.7685312461783049,0.009530575554666326,0.7498513180911589,0.787211174265451,0.802,1000
llama-4-scout,truthfulqa,bilateral_classical,0.7577232944995074,0.010173719156383878,0.737782804952995,0.7776637840460198,0.684,1000
claude-opus-4-1-20250805,mmlupro,bilateral_classical,0.8960347022490451,0.015917473332020496,0.864836454518285,0.9272329499798053,0.147,1000
gpt-4.1-mini-2025-04-14,factscore,bilateral_classical,0.5706898498362877,0.01555588672029464,0.5402003118645102,0.6011793878080651,0.388,1000
gpt-4.1-2025-04-14,truthfulqa,bilateral_classical,0.8624715959964047,0.0076723807085832,0.8474337298075816,0.8775094621852277,0.768,1000
gpt-4.1-mini-2025-04-14,truthfulqa,bilateral_classical,0.8653530377668308,0.00750840374196588,0.8506365664325777,0.880069509101084,0.738,1000
claude-opus-4-1-20250805,truthfulqa,bilateral_classical,0.896551724137931,0.006995646960328619,0.882840256095687,0.9102631921801752,0.726,1000
llama-4-maverick,mmlupro,bilateral_classical,0.8513403303378837,0.011301218876705092,0.8291899413395417,0.8734907193362257,0.368,1000
llama-4-scout,mmlupro,bilateral_classical,0.7466055369423382,0.011918391500505743,0.7232454896013469,0.7699655842833295,0.479,1000
claude-3-5-haiku-20241022,truthfulqa,unilateral_direct,0.6793783644895243,0.008740819447598787,0.6622463583722307,0.6965103706068179,0.995,1000
llama-4-maverick,simpleqa,unilateral_direct,0.4232157183279497,0.009395309739610861,0.4048009112383124,0.44163052541758696,1.0,1000
claude-opus-4-1-20250805,mmlupro,unilateral_direct,0.49919871794871795,0.009576804089866874,0.48042818193257886,0.517969253964857,1.0,1000
gpt-4.1-mini-2025-04-14,truthfulqa,unilateral_direct,0.7203658749103348,0.008726490915046731,0.7032619527168432,0.7374697971038263,1.0,1000
llama-4-maverick,truthfulqa,unilateral_direct,0.6264264518266337,0.009471596292494111,0.6078621230933452,0.6449907805599222,1.0,1000
gpt-4.1-2025-04-14,truthfulqa,unilateral_direct,0.8356212714093271,0.006946328575072259,0.8220064674021854,0.8492360754164687,1.0,1000
gpt-4.1-mini-2025-04-14,simpleqa,unilateral_direct,0.7706406546185551,0.010687951044685026,0.7496922705709724,0.7915890386661378,1.0,1000
llama-4-scout,truthfulqa,unilateral_direct,0.6954648382496162,0.008617534082673092,0.678574471447577,0.7123552050516555,1.0,1000
claude-opus-4-1-20250805,truthfulqa,unilateral_direct,0.5609965074067065,0.009876522017820369,0.5416385242517786,0.5803544905616344,0.989,1000
llama-4-maverick,factscore,unilateral_direct,0.459435221905578,0.00933853101006385,0.44113170112585287,0.47773874268530314,1.0,1000
llama-4-maverick,mmlupro,unilateral_direct,0.43261451980776533,0.008633341297514025,0.41569317086463786,0.4495358687508928,1.0,1000
gpt-4.1-mini-2025-04-14,mmlupro,unilateral_direct,0.6745310590360806,0.01603213245005563,0.6431080794339715,0.7059540386381896,1.0,1000
gpt-4.1-mini-2025-04-14,factscore,unilateral_direct,0.49798341641824695,0.009645899332182174,0.47907745372716987,0.516889379109324,1.0,1000
llama-4-scout,mmlupro,unilateral_direct,0.4960040319677443,0.009530543073080497,0.4773241675445065,0.5146838963909821,1.0,1000
claude-3-5-haiku-20241022,mmlupro,unilateral_direct,0.6072061742942981,0.015775345965978124,0.576286496200981,0.6381258523876152,1.0,1000
mock,truthfulqa,unilateral_direct,0.5833333333333333,0.17920295114115087,0.23209554909667757,0.9345711175699889,1.0,5
gpt-4.1-2025-04-14,factscore,unilateral_direct,0.5026493292856484,0.009545526674542741,0.4839400970035447,0.5213585615677522,1.0,1000
claude-opus-4-1-20250805,simpleqa,unilateral_direct,0.46225006849774497,0.009318424108548743,0.44398595724498946,0.4805141797505005,1.0,1000
gemini-2.5-flash,simpleqa,unilateral_direct,0.7965496747197752,0.009816694982848675,0.7773089525533918,0.8157903968861586,1.0,1000
gemini-2.5-flash,truthfulqa,unilateral_direct,0.7452888628064684,0.008433022196883617,0.7287601393005766,0.7618175863123603,1.0,1000
claude-opus-4-1-20250805,factscore,unilateral_direct,0.43985117817279873,0.009743883806960472,0.4207531659111562,0.45894919043444127,1.0,1000
claude-3-5-haiku-20241022,simpleqa,unilateral_direct,0.686568104498299,0.011369102512735464,0.6642846635733375,0.7088515454232605,0.995,1000
gemini-2.5-flash,factscore,unilateral_direct,0.5012638996346281,0.009887067829707975,0.4818852466884005,0.5206425525808558,1.0,1000
gpt-4.1-2025-04-14,simpleqa,unilateral_direct,0.8228381902775922,0.009206029782424309,0.8047943719040406,0.8408820086511438,1.0,1000
claude-3-5-haiku-20241022,factscore,unilateral_direct,0.5320524061223979,0.009664594097359498,0.5131098016915733,0.5509950105532225,1.0,1000
llama-4-scout,factscore,unilateral_direct,0.4470746345163334,0.008722499858152875,0.4299785347943538,0.464170734238313,1.0,1000
gpt-4.1-2025-04-14,mmlupro,unilateral_direct,0.5627761413843888,0.010359736548617812,0.5424710577490979,0.5830812250196797,1.0,1000
llama-4-scout,simpleqa,unilateral_direct,0.712310173892517,0.009430146314912756,0.6938270871152881,0.730793260669746,1.0,1000
gemini-2.5-flash,mmlupro,unilateral_direct,0.6097852724938733,0.011538860324331589,0.5871691062581833,0.6324014387295632,1.0,1000
gpt-4.1-2025-04-14,simpleqa,unilateral_uncertain,0.8305824608679513,0.00939642585957332,0.8121654661831876,0.8489994555527149,0.93,1000
claude-3-5-haiku-20241022,factscore,unilateral_uncertain,0.29577464788732394,0.004827247489140754,0.28631324280860804,0.30523605296603984,1.0,1000
claude-3-5-haiku-20241022,mmlupro,unilateral_uncertain,0.5814494829670084,0.025840800807094992,0.5308015133851022,0.6320974525489146,0.17,1000
gpt-4.1-2025-04-14,mmlupro,unilateral_uncertain,0.5340344938749194,0.009835947934943487,0.5147560359224301,0.5533129518274087,0.969,1000
llama-4-scout,truthfulqa,unilateral_uncertain,0.6848388542557959,0.011923080701794757,0.6614696160802782,0.7082080924313137,0.546,1000
gpt-4.1-mini-2025-04-14,simpleqa,unilateral_uncertain,0.8160744428232197,0.011801878215630987,0.792942761520583,0.8392061241258565,0.695,1000
gemini-2.5-flash,simpleqa,unilateral_uncertain,0.8337197616909083,0.009734353584549663,0.814640428665191,0.8527990947166256,0.805,1000
claude-3-5-haiku-20241022,truthfulqa,unilateral_uncertain,0.8101127320954907,0.015733162864300057,0.7792757328814626,0.8409497313095189,0.249,1000
llama-4-scout,simpleqa,unilateral_uncertain,0.8440889079780951,0.015117294445601942,0.8144590108647153,0.8737188050914749,0.484,1000
gemini-2.5-flash,mmlupro,unilateral_uncertain,0.6105999831701776,0.013209529916270923,0.5847093045342866,0.6364906618060686,0.617,1000
gpt-4.1-mini-2025-04-14,mmlupro,unilateral_uncertain,0.8192742509289273,0.019654962614567787,0.7807505242043744,0.8577979776534801,0.254,1000
gemini-2.5-flash,factscore,unilateral_uncertain,0.47028685381193436,0.021483525574598605,0.4281791436857211,0.5123945639381476,0.194,1000
gpt-4.1-mini-2025-04-14,factscore,unilateral_uncertain,0.4997337196174083,0.019682753274981406,0.4611555231984448,0.5383119160363719,0.228,1000
llama-4-scout,factscore,unilateral_uncertain,0.44545835955527585,0.016187912914043805,0.41373005024375,0.4771866688668017,0.311,1000
llama-4-scout,mmlupro,unilateral_uncertain,0.31361579079708324,0.015451879574070546,0.28333010683190496,0.3439014747622615,0.358,1000
claude-opus-4-1-20250805,truthfulqa,unilateral_uncertain,0.7214590964590964,0.019165602319241172,0.6838945159133838,0.7590236770048091,0.219,1000
llama-4-maverick,mmlupro,unilateral_uncertain,0.12186473879282403,0.007371706494941559,0.10741619406273857,0.13631328352290947,0.598,1000
gemini-2.5-flash,truthfulqa,unilateral_uncertain,0.8334961741555148,0.009482527509073106,0.8149104202377315,0.8520819280732981,0.523,1000
gpt-4.1-mini-2025-04-14,truthfulqa,unilateral_uncertain,0.8534322820037106,0.0092475628755196,0.8353070587676922,0.871557505239729,0.553,1000
claude-opus-4-1-20250805,simpleqa,unilateral_uncertain,0.19784768211920528,0.013382138692603239,0.17161869028170293,0.22407667395670763,0.323,1000
llama-4-maverick,truthfulqa,unilateral_uncertain,0.6762623479035061,0.016694810006741747,0.6435405202902923,0.70898417551672,0.332,1000
gpt-4.1-2025-04-14,factscore,unilateral_uncertain,0.5272173582032738,0.018764343136255628,0.4904392456562127,0.5639954707503347,0.27,1000
llama-4-maverick,simpleqa,unilateral_uncertain,0.24873487077828532,0.0081068721841011,0.23284540129744716,0.26462434025912346,0.819,1000
gpt-4.1-2025-04-14,truthfulqa,unilateral_uncertain,0.8846563481195624,0.006699920515497392,0.8715245039091875,0.8977881923299373,0.807,1000
claude-3-5-haiku-20241022,simpleqa,unilateral_uncertain,0.7796592775041051,0.019787295985623888,0.7408761773722823,0.818442377635928,0.226,1000
claude-opus-4-1-20250805,mmlupro,unilateral_uncertain,0.45471602945626954,0.011552731881379646,0.43207267496876545,0.47735938394377364,0.546,1000
claude-opus-4-1-20250805,factscore,unilateral_uncertain,0.29577464788732394,0.004827247489140754,0.28631324280860804,0.30523605296603984,1.0,1000
llama-4-maverick,factscore,unilateral_uncertain,0.3884069184518916,0.007700540271577653,0.37331385951959944,0.4034999773841838,0.661,1000
